ticket_id,ticket_uuid,customer_id,category_id,ticket_subject,ticket_description,priority,status,created_date,updated_date,resolved_date,assigned_agent,customer_satisfaction_score
49,ae70b0c0-250d-402b-a303-3ec01ad26c74,1611,21,Returns & Exchanges - Enough space because.,Success through light also born fire. Choice after them challenge minute economy rather. The sort sport enjoy. Mr choice method see lead treat chance how. Opportunity support strong then instead relate. Approach environmental soon who reduce sport I.,Low,In Progress,2025-03-06 02:44:54,2025-03-07 01:44:54,,Laura Haynes,
50,e143e691-247d-4b3d-aee2-1afb6c06c627,1061,25,Complaint - Various its eat better some author majority however.,Watch position join choice now western. Plant foreign its tax plan law miss. Standard without public top school energy. Argue edge stuff character.,High,Resolved,2025-01-28 09:41:53,2025-01-31 05:41:53,2025-02-01 07:41:53,Angela Ray,
51,8945d4ff-2b6b-483d-9f85-d1718f7e8ba4,1499,26,Compliment - Kitchen blue attack property keep by seek nothing.,Miss back allow his what after. Term lawyer dinner make instead.,Critical,Resolved,2025-01-07 18:48:17,2025-01-14 03:48:17,2025-01-15 14:48:17,Brandon Gordon,2
52,bc7e7a54-5fa8-47a5-af09-9b132003c885,1577,25,Complaint - Meet picture mission.,Director successful traditional. Couple deep source herself. Drug itself low wind. Night suffer worry evening develop. Unit player seem address.,Critical,Open,2025-05-07 21:52:05,2025-05-09 12:52:05,,,
53,3bbd3300-b2cd-4eb3-8967-f372cb29679b,1470,19,Payment method declined,Anything bad bar bit. Leg security green born.,High,Pending,2025-04-21 16:20:29,2025-04-24 05:20:29,,Mary Allen,
54,21429f7f-741c-4535-9db4-04f93a941eb1,1386,30,Data Privacy - Section standard list tough public approach.,Suffer health seven read. Become people structure energy put authority strong. Day direction option trouble according property society. Certain agency drop. Win senior if light study significant once.,Critical,In Progress,2025-01-10 22:26:34,2025-01-16 14:26:34,,Catherine Mcgee,
55,a3e949e1-98fe-4bcf-b673-b34fecf4d3af,1044,16,Order cancelled without notification,National ten must suffer. Choose skin production admit over field. Shoulder cover particularly theory. Low option significant direction show share.,Low,Resolved,2025-03-12 17:41:51,2025-03-14 10:41:51,2025-03-15 07:41:51,Benjamin Gibson,3
56,ab7de8cf-2129-4d74-a52a-55a091fc5322,1765,18,Two-factor authentication problems,Explain wrong measure despite. Few she might magazine feel foreign far win. Still message then surface build to produce. Floor poor understand reveal air. Owner wife themselves.,Medium,In Progress,2025-04-02 13:57:34,2025-04-06 00:57:34,,Christopher Burgess,
57,34bbb4c8-a3d9-4e40-9f5e-a25e7b9a0c2f,1309,28,Security Concern - Shake lot protect usually.,Discuss deep indicate evening nice return mouth. Cause always least poor art fight bed. Size have try understand hospital opportunity. Money use space ten hope.,High,Resolved,2025-05-23 11:03:24,2025-05-25 07:03:24,2025-05-27 23:03:24,Katherine Griffith,5
58,eabeeb84-3003-4923-b8e3-21b6d525ec38,99999,17,Item not working as described,Positive face single kitchen agency source Democrat. Natural view seat age. Offer against about ago quickly.,Low,Open,2024-10-18 20:38:51,2024-10-22 14:38:51,,James Ward,
59,3fd2f17e-8903-4ef9-90ff-704efc30f298,1212,24,General Inquiries - Central do blood yet.,Ability study affect similar since economic. So audience food interest middle. World present what mission about such attack sort. Now another director indicate. Approach station vote either now fund. Majority color ball mission toward loss step.,Low,Resolved,2025-03-02 12:10:53,2025-03-06 16:10:53,2025-03-07 22:10:53,Cory Smith,
60,2606d544-7a10-4981-9275-d40c490f66d2,1923,17,Item not working as described,Reach front fast place environmental TV quickly. There statement worry back. Mission letter son trial form.,Medium,Pending,2025-04-29 16:43:26,2025-04-30 00:43:26,,Stephanie Wheeler,
61,691f7107-d760-4ce9-8922-8d0d4e6042af,1761,17,Product quality issues,Newspaper dream action answer something suffer. Conference see mission true. Deep building for.,High,Open,2024-12-11 06:10:20,2024-12-17 12:10:20,,James Ross,
62,c295fbb5-eae0-4bfd-9f34-c54b7f4aa2b7,1245,25,Complaint - Strategy imagine should amount discuss country there.,Time tonight sort road draw. Question benefit ready between ago anything thus star.,High,In Progress,2024-06-30 21:39:20,2024-07-05 14:39:20,,Scott Scott,
63,062b0966-9826-4cc9-9554-95aeecdba87d,1294,29,Partnership Inquiry - Whether keep process power factor budget.,Play into onto rule. Try threat heart serious sense miss force full.,Low,Pending,2025-05-31 23:42:36,2025-06-05 13:42:36,,Elizabeth Johnson,
64,82f8caaf-610a-462a-a03a-2a1ec9ed279c,1102,29,Partnership Inquiry - Behind himself out their parent sense.,Score subject plant.,High,Pending,2024-09-03 08:19:48,2024-09-03 15:19:48,,Benjamin Perkins,
65,31e89674-877f-4b77-8ee6-6f6eda1fbf05,1597,16,Order status not updating,Evidence should same suggest cover.,Medium,In Progress,2025-03-30 17:23:34,2025-04-04 07:23:34,,Daniel Gutierrez,
66,71ddda7f-d89f-4498-8531-8084b8b3fbbb,1555,25,Complaint - Open property ever both address.,Nor site rise. Treatment appear shoulder than actually. Father could yourself might create.,Low,Pending,2024-06-29 03:21:47,2024-07-04 08:21:47,,Debra Ferguson,
67,96a69308-25c3-4f97-9c70-5ee447aebc83,1223,19,Unexpected charge on my account,Compare tax until.,Critical,Resolved,2024-09-11 05:20:26,2024-09-14 20:20:26,2024-09-15 08:20:26,Taylor Howe,2
68,a69c3f5b-3c27-41a1-8b1f-f9a553c8e1ed,1368,21,Returns & Exchanges - Race dinner road finally cover small.,Yourself price strategy couple. Simply hundred someone. Every enjoy relationship movie son house nature.,Medium,Pending,2024-12-18 15:22:39,2024-12-23 11:22:39,,Mckenzie Collins,
69,2e1c52d0-490d-4b08-a556-d4065fdf8e2e,1714,26,Compliment - Where news particular rest cover.,Firm performance just them first. Draw offer partner machine discussion. Project hope analysis make opportunity top turn. Daughter other great produce relationship international.,Critical,Resolved,2024-11-18 06:05:52,2024-11-19 10:05:52,2024-11-19 17:05:52,Pamela Lane,2
70,edffa3ca-cb85-44c1-a437-70893e74fc04,2002,20,Mobile app crashing frequently,New daughter sit.,High,Open,2025-06-11 13:40:49,2025-06-13 06:40:49,,Edward Perry,
71,9be749a9-f141-46c2-9c9c-6838ba03915b,1814,17,Product quality issues,Safe what she player down cup short. Single star artist in.,Critical,Pending,2025-05-09 02:23:51,2025-05-15 01:23:51,,John Wilson,
72,6e7385b6-54da-4e08-9015-9d55c636dfb6,1307,30,Data Privacy - Though smile movement including game remain.,Article big visit sort fish. There foreign indicate pressure you.,Critical,Open,2025-02-25 19:55:33,2025-03-03 12:55:33,,Christopher Oneill,
73,abd81722-ccda-4118-8cbe-548604d6e449,1268,27,Feature Request - Strong interesting character also.,Necessary specific order national get poor business. Shake or me become pattern song participant. Put health year focus long significant.,Low,Open,2025-02-20 13:00:23,2025-02-21 14:00:23,,Cassandra Burke,
74,712cc94a-a518-411c-b242-d4ba52cde3ba,1052,19,Unexpected charge on my account,Reason work image happy blood weight. Adult speech almost later ok someone along. Either quickly whose property. Organization social pretty safe.,High,Resolved,2024-12-07 04:00:48,2024-12-10 17:00:48,2024-12-13 16:00:48,Brittany Wagner,2
75,2ee1b1a1-c262-4cad-99ea-44efd0359e37,1583,23,Shipping Inquiries - Season indeed although pattern take.,Cultural tough benefit just whom. Few standard tonight. Scientist miss anything forward understand. Say foreign toward production deep. Firm rock organization PM TV ok arrive.,High,In Progress,2025-05-20 14:10:52,2025-05-25 02:10:52,,Andrea Henderson,
76,eed62db9-b3e6-4c77-afe4-4fad583acf4a,1443,28,Security Concern - Marriage father back base white.,Economy our detail plant official. Final candidate subject power seek many room. Letter vote hotel discussion base require. Figure challenge nature light general money us.,Critical,Pending,2024-06-22 11:30:11,2024-06-25 15:30:11,,John Delacruz,
77,cef84197-605a-4785-ad47-bcecc83e67e5,1380,18,Cannot login to my account,Size partner employee area. Usually ten language issue attack development tend. Prepare hope beat performance detail behind ground.,Critical,Pending,2024-10-29 14:58:30,2024-11-02 05:58:30,,Charles Cooper,
78,caefd123-9a93-41dd-9e56-31a0bc391b64,1313,23,Shipping Inquiries - Join play turn window kid suddenly region customer.,Late under history. Mention conference hold long dog read force. Beyond brother despite simple. Garden marriage great sort yes sure agreement.,Medium,Resolved,2025-03-30 06:58:20,2025-04-03 11:58:20,2025-04-03 22:58:20,Pamela Rubio,3
79,b2d37cb2-178d-40b0-a44b-d7c41227f3dd,1492,17,Missing parts in product package,Song hand game. Buy occur fall tell.,Low,In Progress,2024-09-28 10:24:11,2024-10-03 20:24:11,,Ana Foster,
80,ad36a588-0fc1-4640-b95c-625156b0de35,1783,22,Product Information - Meeting lose near set.,Act imagine second like six suggest ready. Science hundred best main.,Low,Closed,2024-11-15 06:11:29,2024-11-22 00:11:29,2024-11-23 04:11:29,Jamie Olson,5
81,ad60cd91-e829-48a6-ae4a-40a7d1b97a4c,1114,19,Tax calculation questions,Picture fast movement sister. Them hot adult see.,High,In Progress,2024-11-05 17:09:08,2024-11-09 19:09:08,,,
82,88253e18-5737-4d29-97eb-e48f701757a8,1490,17,Product quality issues,Prove bring type during. Future meeting office economic behind exist. During leader speech deep own either.,High,In Progress,2024-10-31 20:44:53,2024-11-03 04:44:53,,,
83,6b8c4edd-cac4-4ce3-8d6a-5373df202541,1814,17,Manufacturing defect in product,Wife national air movement drive throw.,Critical,In Progress,2025-06-03 22:08:29,2025-06-06 09:08:29,,Christine Bush,
84,fb698e62-022b-4f78-b5c6-8a545e2864ef,1916,24,General Inquiries - Seem concern cover step section attention lay.,Than modern back form green trouble. Pull blood between.,Critical,Open,2024-07-04 19:58:15,2024-07-07 06:58:15,,,
85,58dedd6f-ddb3-4e85-aaf5-92a7115dbff7,1766,17,Item not working as described,Woman environmental camera growth quickly. Second course because not this even what. Tonight window unit fact front before season. Fall TV election.,Critical,Open,2025-01-04 03:12:11,2025-01-10 02:12:11,,Kevin Solis,
86,0e3534d5-a61b-4657-be35-91522a8fe85a,1042,23,Shipping Inquiries - Property detail conference my detail.,Agree personal little girl produce movement. Million already guess throughout.,Low,Open,2024-10-06 21:54:26,2024-10-07 04:54:26,,,
87,33b635b0-a41b-4002-aaa9-7b911cd9e898,1613,20,Website not loading properly,Result western my civil order admit current. Writer always eye image member could week. Hope far something family remain.,Low,Resolved,2024-12-30 04:33:19,2025-01-01 17:33:19,2025-01-03 00:33:19,Jessica Lane MD,5
88,d37b04cd-ee4e-45d1-877f-a1c954aad7e3,1849,29,Partnership Inquiry - Unit recently until safe people speak again.,May size federal. Phone significant anything. Trade remain fly beyond impact occur. True every seem everyone. Which offer live. Enjoy another address yourself fast growth reach.,Critical,Open,2024-11-17 03:15:33,2024-11-23 13:15:33,,Jacqueline Hammond,
89,156edc45-11c2-428a-8b0e-c10ca379b6b3,1033,25,Complaint - Ago consumer bar million what.,Beat interest mouth civil. Professor focus others ok particular. Dark plan people natural garden project. Culture nation cold social data raise.,High,Pending,2024-11-23 00:44:52,2024-11-27 04:44:52,,Angela Flowers,
90,8df9d8c5-87e7-4357-8140-c986cd1f9854,1980,23,Shipping Inquiries - Magazine morning hour team huge onto.,Guess result usually behind rock family require. Him mother write effort market.,Medium,Open,2024-08-30 16:56:07,2024-09-06 01:56:07,,Nicole Harris,
91,8cfe6774-9934-4053-8c04-8ba4c1e4fcc2,1713,28,Security Concern - Own get floor stand machine group under.,Control brother must through together as. That project how set morning.,High,Closed,2025-07-07 20:36:55,2025-07-10 04:36:55,2025-07-10 16:36:55,Brandon Banks,2
92,41e218a9-df1c-46bc-9fe6-879f09f0854e,1754,29,Partnership Inquiry - Skin Mr as last world as difference.,Recent would agree bill teacher agent. Culture past her under natural. Cold staff bag series treat cut interview.,Low,Closed,2024-10-05 22:46:33,2024-10-11 17:46:33,2024-10-12 04:46:33,Jesus Jones,2
93,82f25890-67c4-48e6-8af7-8b0824701adc,1360,18,Email verification issues,House red career.,Medium,Resolved,2025-05-25 01:53:30,2025-05-31 04:53:30,2025-06-01 23:53:30,Billy Smith,1
94,6235e315-92af-4723-a815-3edbc622ab1f,1808,28,Security Concern - Place sea research group beautiful number.,Role drop trial add. American either discover you doctor including child.,Critical,In Progress,2024-06-20 04:14:11,2024-06-25 13:14:11,,Megan Cameron,
95,6020c94d-075c-43c7-8f69-3bc9ee107474,1809,27,Feature Request - Back reality throw chair point law Mrs shake.,Nation fast east consider sound factor understand.,Critical,Open,2024-12-20 08:27:34,2024-12-23 22:27:34,,Traci Reyes,
96,ab27ac96-ad1a-46bb-8392-89e6f8827d90,1088,17,Item not working as described,Must almost figure less teach newspaper while. Physical notice fire. Best allow arrive. Audience ready good here range wish. Fill per old put Mrs city.,Low,In Progress,2025-02-23 10:09:02,2025-02-26 18:09:02,,Stephen Jordan,
97,77dba9c7-103d-43f0-8336-e648912feb69,1187,17,Product quality issues,General nature night behind. Treat always hear believe event spring forward. Discuss order crime law significant summer.,Low,In Progress,2025-04-03 00:38:48,2025-04-06 03:38:48,,Jessica Pena,
98,e51a941e-2d17-4455-aa41-f506f21f47c9,1663,24,General Inquiries - Science any word seven individual successful.,Place third all child right often. Space institution benefit politics check those seat.,Critical,Open,2024-10-13 03:05:49,2024-10-16 11:05:49,,Robert Santos,
99,c43988a7-73bc-4c7f-98df-2faf6bd7f3cb,1734,30,Data Privacy - View treat teach occur.,These everything language another word easy. Least exactly far vote raise lay anything seven. Customer away door federal point operation keep. Catch name provide pretty book within.,Low,In Progress,2024-08-10 16:09:54,2024-08-12 10:09:54,,Angela Short,
100,f7b3c779-e54b-43df-8a90-f5d710458819,1498,20,Mobile app crashing frequently,Building by cause light. Appear entire professor create model north material door. Wall action east statement relationship believe. Other indeed child my hit.,Critical,Open,2025-05-05 18:45:47,2025-05-09 12:45:47,,Richard Navarro,
101,6073667b-0f24-4ae1-aa1f-d3f818f9ec8c,1613,27,Feature Request - Something week professor audience wrong natural.,Wife wife beautiful against treatment soldier after. Change sign such two. Vote role agent turn cause.,Critical,Open,2025-03-13 20:48:34,2025-03-16 00:48:34,,Jared Garrett,
102,788b4c3a-7733-4920-827d-242c65507c13,1526,25,Complaint - Pull force ever read.,Green that almost part. Medical citizen get detail guy development grow. Bit much summer base son create wonder.,Critical,Open,2025-02-06 23:34:23,2025-02-09 08:34:23,,Jonathan Thomas,
103,a3260abf-a210-42ad-a993-88cb97952161,1473,19,Billing address update needed,Blood over read thing start. Fear thus doctor new.,High,Resolved,2025-05-22 10:57:55,2025-05-26 00:57:55,2025-05-26 09:57:55,Sandra Barton,4
104,74dca81f-d7c4-4cb0-92ea-1499843a2b8f,1661,27,Feature Request - Away western cell coach service.,Future risk live exactly three new learn. Environment reduce some better improve research example. Hit more you rock learn. Marriage around work feel.,Low,Open,2025-04-09 22:22:03,2025-04-10 18:22:03,,Melissa Conley,
105,8484877a-a6eb-42d8-a0fc-fc2d3f9fba0f,1307,21,Returns & Exchanges - Popular way operation discover side relationship where instead.,Rich either hold dream protect gas follow. Road themselves clearly score necessary world bag. Low continue this hold. Sometimes good bad movie type movement challenge.,Low,Closed,2024-08-21 07:35:25,2024-08-26 08:35:25,2024-08-29 01:35:25,,
106,1697d407-9e25-4f6e-8d89-5c07f8c624b1,1254,27,Feature Request - Pattern have write.,Up responsibility now type life everybody what. Worry happen four worry.,Medium,Open,2025-03-13 12:05:31,2025-03-17 14:05:31,,,
107,0c77b1dd-8bb4-45fb-a0c1-f63fbcd2c867,1667,25,Complaint - Skill receive why accept often.,Herself would take listen surface indeed not. West ready well perhaps both design. Him really energy recently be center.,High,Pending,2024-08-14 13:20:40,2024-08-15 00:20:40,,Melissa Jones,
108,ddface92-e9b6-4bd2-a51b-f60342aa48fa,1134,20,Payment processing errors,Year bar yeah art significant list. Late apply old of direction experience set. War entire cut firm. Later include us.,Low,Open,2025-01-14 18:23:07,2025-01-17 11:23:07,,Andrew Jones,
109,b7ad4505-b49e-4d73-a838-9e1bb9920c5a,1910,28,Security Concern - Accept upon sure sea book college if.,Play receive then late. Mind carry deep choose exist practice. Evening role air time benefit.,Low,Pending,2024-06-20 15:54:22,2024-06-25 15:54:22,,Courtney Schneider,
110,7e2c223a-1002-4a3c-b87c-143a3262b675,1740,21,Returns & Exchanges - Full budget serve.,Step prevent trip. Region occur choice within city ahead.,Medium,Pending,2024-12-09 19:57:31,2024-12-14 05:57:31,,Deborah Romero,
111,095656d2-c78a-456b-a5c7-920e5c1a4b73,1030,28,Security Concern - Scientist authority hear on life lead.,Full very ground instead rather. Street within speak lot bar manage stuff blue. Bed treatment among my by identify go. World involve huge give. Former summer general have pressure play.,Low,In Progress,2024-09-18 15:13:16,2024-09-23 19:13:16,,Jenna Thomas,
112,466ffe08-9897-4a75-830a-9e58b43fce20,1505,25,Complaint - Whole husband you.,After around old former pull.,Medium,In Progress,2024-11-15 06:36:13,2024-11-20 21:36:13,,Mr. Evan Duran Jr.,
113,024944c6-3c0f-488e-9873-7639d14d19c7,1788,18,Cannot login to my account,Where challenge mention. Risk hour business shake past five. Mention story cost music environment safe follow. Put dinner discuss itself.,Low,Open,2025-06-20 08:41:08,2025-06-22 08:41:08,,Michael Morgan,
114,dac9e420-264e-4566-a3d9-6243ca152bb9,1795,24,General Inquiries - Teach administration close social or.,We past worker onto. Attack inside my city kid. Back water film foot sit baby soon put. Program beyond couple worker information price.,Medium,Pending,2024-12-14 21:25:22,2024-12-18 15:25:22,,Andrew Young,
115,7beb55d9-2899-45aa-9bd7-a657e5c5741c,1828,18,Email verification issues,Let season order that. Old someone single station southern nature feel. State hear red do successful.,Low,Closed,2024-11-07 11:06:44,2024-11-10 00:06:44,2024-11-12 08:06:44,,2
116,11087f6a-5fa0-43cc-8392-eb23185967c2,1859,20,Payment processing errors,Design detail beyond husband. Down common accept teach. They policy really already able no expert. Commercial middle water cover political success. Hard girl shake wife keep.,Low,Pending,2024-11-11 05:52:44,2024-11-17 20:52:44,,John Copeland,
117,1eb0e5a0-d514-4ef0-8ecc-9bf56f92f89b,1149,28,Security Concern - Opportunity capital great with listen take force.,Claim expect understand shoulder. Suggest power team candidate see nearly. Term indeed close manager. Hope project be answer option total poor exactly. Student you send.,High,Closed,2024-08-29 08:57:31,2024-09-01 17:57:31,2024-09-04 15:57:31,Larry Lee,5
118,b87245c4-f440-4cea-b55d-6e5a3bf441e3,1839,22,Product Information - Physical science half term during fear.,Consider up college evening hundred. Between phone paper before.,Medium,Pending,2025-02-18 00:29:46,2025-02-24 00:29:46,,Melissa Villarreal,
119,9f50480a-101d-49af-8c46-3565877bf0e4,1944,17,Manufacturing defect in product,Although too live. Effect black focus sea. International really drive opportunity defense newspaper pull approach. Conference difficult great than apply him. Determine eight apply three now sometimes. Them product unit race.,Medium,Pending,2024-12-05 00:44:57,2024-12-11 01:44:57,,Eddie Horn,
120,db172ffb-30ae-406b-b6f9-43048a6c2173,1138,24,General Inquiries - Free big ask continue now.,Travel second less. Authority want fly fight. Often approach adult medical whom. Mr item region speech. Assume PM my pay father eat.,Medium,Resolved,2025-05-09 18:33:27,2025-05-14 16:33:27,2025-05-16 14:33:27,Suzanne Benson,5
121,9dcbe439-bfcd-4a7d-a875-37de0ee7a0af,1605,20,Search function not working,Face sure all month star. Trip do PM carry soldier. Agent wish staff tree thing. Them himself why end plant rest. Light meet try animal let bit full.,High,Closed,2024-08-08 13:50:06,2024-08-12 03:50:06,2024-08-13 20:50:06,Jacqueline Douglas,2
122,b35a1877-7a9d-47c2-a5e4-3ae95c59ce83,1791,23,Shipping Inquiries - Hair management certainly off particular.,Difference what improve head. Little president blue floor floor among. Commercial yet watch hour. Main individual we position entire officer.,Medium,Resolved,2024-12-14 00:00:45,2024-12-20 22:00:45,2024-12-21 13:00:45,Lori Ford,1
123,3ea7474c-86c6-4038-acea-b063cd9f21d1,1435,19,Billing address update needed,Protect him despite industry bag still full police. Stuff very parent because north. Threat teach report form father style. Already stock their onto arm stock development. Film chance specific site draw night. Field pretty fire where who.,Critical,Pending,2024-11-11 10:40:08,2024-11-14 09:40:08,,Lawrence Lloyd,
124,f10eb446-90a2-4e7f-a9b2-a53b66febbf7,1569,18,Cannot login to my account,Strategy prove never perhaps system cold. Agent fine bad officer lose actually build each. Pattern PM treatment other.,Medium,Resolved,2025-04-07 14:57:54,2025-04-11 17:57:54,2025-04-14 03:57:54,Christopher Tucker,1
125,4c01aad6-1794-45d6-9c81-0962586d9a80,1196,17,Manufacturing defect in product,Argue change argue his. Authority someone hundred special.,Critical,In Progress,2025-03-25 02:30:28,2025-03-30 09:30:28,,Samuel Walker,
126,5f034cba-68b4-411f-977a-bc082645b0fa,1597,16,Order status not updating,Economy four behind four. Hair some environmental design another. Economic true identify hour you into. Account front south oil keep. Final energy buy wind never. Spring down serve that clearly health teacher push.,High,Resolved,2024-06-18 10:45:43,2024-06-24 14:45:43,2024-06-26 18:45:43,Scott Navarro,2
127,1d8b35ec-363a-4626-a6d7-a18c264ef960,1455,20,Mobile app crashing frequently,Bank some high. Full occur example artist.,Low,In Progress,2025-02-12 07:55:28,2025-02-17 09:55:28,,Lisa Montgomery,
128,205f0c23-4488-4e60-b78b-8cfc16ba2ac5,1832,25,Complaint - Be business when unit by too common management.,Political bed international may effort term range. Morning reflect the political. Beyond hotel class best recently.,Critical,Resolved,2025-03-08 00:38:38,2025-03-09 12:38:38,2025-03-10 10:38:38,Keith Lee,3
129,511488a2-f44d-4bf7-8a79-d8c709a07383,1454,24,General Inquiries - Evening information common participant parent before.,Cultural board idea manage. Energy final wall edge always tax.,Critical,Open,2024-08-20 10:46:55,2024-08-25 15:46:55,,James Kennedy,
130,b959cf70-52e7-48e9-90bf-1851cc7c8956,1956,27,Feature Request - Dinner hot admit Democrat bank draw.,He fall actually rock however notice goal. Beyond organization player issue. Remain bill group address set money.,Critical,Open,2024-12-31 09:32:18,2025-01-05 17:32:18,,Kristen Gonzalez,
131,84feee23-5cf4-49b6-8fd6-6c7416c980bf,1628,22,Product Information - Happen product beyond talk question many.,Employee concern pretty court himself management public. Institution seek clearly close station not treat. Everyone summer American show action step.,High,Closed,2025-05-10 07:48:30,2025-05-15 16:48:30,2025-05-17 03:48:30,Jacqueline Lee,5
132,18893d85-1318-44c3-89f3-07977f9896cd,1225,27,Feature Request - Dark move stop number.,Car treatment need book himself agency range. Return long treat represent ok practice. Quickly job seek no bag serve entire part. Forget whether agent up reflect car. Stay reduce clearly military school many stand.,High,Pending,2025-01-19 18:57:18,2025-01-25 20:57:18,,Joshua Salazar,
133,7df885e0-827f-47b0-960c-672df85307ae,1015,16,Order status not updating,Environment professor question beautiful. Relate opportunity between plan fund prevent claim. Professor nature woman through probably girl family. Out less bring society majority. Worry most ability option few.,Low,Pending,2024-09-18 19:46:26,2024-09-21 04:46:26,,Amy Morris,
134,166a5fdb-3bfe-4df0-b9e8-2e4b2213d749,1254,20,Search function not working,Drop customer art difference meet rich article. Positive guess direction benefit.,Low,Resolved,2025-01-08 20:20:54,2025-01-15 12:20:54,2025-01-18 10:20:54,Joshua West,1
135,711a136d-edbb-47b0-92be-c925f5cfca1c,1657,22,Product Information - Wonder record medical water.,Positive look example. Goal knowledge class official fact evening. Personal subject today imagine above. Plan blue town.,High,Pending,2025-05-25 01:25:29,2025-05-26 05:25:29,,Mark Green,
136,375675f8-30ee-471a-97ab-a3b2fadc5015,1320,23,Shipping Inquiries - Reflect before foreign help.,Majority send wall policy person forget. National whose attack fund serious.,Low,Closed,2024-09-17 05:24:02,2024-09-22 21:24:02,2024-09-25 04:24:02,,4
137,93dbdff4-967f-457c-8c7a-d75ae96e219f,1024,16,Wrong item shipped in my order,Hold foreign office woman investment. Material still strong medical strong particularly. Information get but policy. War east work back Mr foot somebody need. Parent at seven. Face amount stage center.,Medium,Open,2024-08-28 03:20:30,2024-09-01 10:20:30,,,
138,b232fc71-26fa-4105-a12a-87c3c386adce,1054,28,Security Concern - Can human really wish choice education Republican traditional.,Behind according TV approach knowledge offer economy. Me onto apply. Appear by thought star. Sit make population. Visit coach require foreign enjoy.,High,Closed,2024-07-30 00:56:22,2024-08-05 02:56:22,2024-08-06 08:56:22,Brian Moore,1
139,f676c45a-6985-4c86-bc87-eef07e9d20d6,1979,18,Two-factor authentication problems,Opportunity such century identify including item eat. News president page impact. Early pass yes thank. Head now hope bar.,Medium,Open,2024-07-04 19:04:31,2024-07-11 04:04:31,,David Mann,
140,82bda78e-91f5-4ca6-8e87-8543fbded350,1879,29,Partnership Inquiry - Continue age because.,School focus wrong major region within result indicate. He worker whom relate music course decade somebody. Picture national argue door. Push heavy a PM card if wife. Hit manager skill because require star what well.,Critical,Open,2025-04-12 20:05:19,2025-04-17 11:05:19,,Pamela Moore,
141,da256222-44f5-4143-a409-2797ea9f7e1f,1758,21,Returns & Exchanges - Director off represent skill to believe.,Forward leg wind dark affect word. Policy loss report help. Himself billion thought all thing.,Low,Pending,2025-02-15 18:02:52,2025-02-18 12:02:52,,Pamela Stewart,
