transaction_id,customer_id,amount,transaction_date,merchant_category,transaction_type,location,is_fraud
TXN033,CUST018,75.00,2024-01-18T12:00:00,RESTAURANT,DEBIT,FLORIDA,0
TXN034,CUST019,520.00,2024-01-18T13:45:00,ELECTRONICS,CREDIT,NEW_YORK,0
TXN035,CUST020,35.50,2024-01-18T14:20:00,COFFEE_SHOP,DEBIT,WASHINGTON,0
TXN036,CUST021,890.00,2024-01-18T15:30:00,HOTEL,CREDIT,NEVADA,0
TXN037,CUST022,65.25,2024-01-18T16:10:00,PHARMACY,DEBIT,OREGON,0
TXN038,CUST023,2200.00,2024-01-18T17:45:00,JEWELRY,CREDIT,UNKNOWN,1
TXN039,CUST024,125.75,2024-01-18T18:20:00,GAS_STATION,DEBIT,ARIZONA,0
TXN040,CUST025,95.00,2024-01-18T19:00:00,GROCERY,DEBIT,COLORADO,0
TXN041,CUST026,180.50,2024-01-19T08:15:00,RESTAURANT,CREDIT,UTAH,0
TXN042,CUST027,45.00,2024-01-19T09:30:00,ATM,DEBIT,MICHIGAN,0
TXN043,CUST028,340.75,2024-01-19T10:45:00,CLOTHING,CREDIT,ILLINOIS,0
TXN044,CUST029,78.99,2024-01-19T11:20:00,PHARMACY,DEBIT,MONTANA,0
TXN045,CUST030,1650.00,2024-01-19T12:35:00,ELECTRONICS,CREDIT,CALIFORNIA,0
TXN046,CUST031,225.50,2024-01-19T13:50:00,GROCERY,DEBIT,TEXAS,0
TXN047,CUST032,55.25,2024-01-19T14:15:00,COFFEE_SHOP,DEBIT,NEW_YORK,0
TXN048,CUST033,4500.00,2024-01-19T15:30:00,ONLINE,CREDIT,UNKNOWN,1
TXN049,CUST034,167.80,2024-01-19T16:45:00,GAS_STATION,CREDIT,FLORIDA,0
TXN050,CUST035,92.00,2024-01-19T17:20:00,RESTAURANT,DEBIT,WASHINGTON,0
TXN051,CUST036,385.99,2024-01-19T18:35:00,CLOTHING,CREDIT,OREGON,0
TXN052,CUST037,68.50,2024-01-19T19:10:00,PHARMACY,DEBIT,ARIZONA,0
TXN053,CUST038,145.25,2024-01-19T20:25:00,GROCERY,DEBIT,COLORADO,0
TXN054,CUST039,750.00,2024-01-20T08:00:00,ELECTRONICS,CREDIT,UTAH,0
TXN055,CUST040,25.75,2024-01-20T09:15:00,COFFEE_SHOP,DEBIT,MICHIGAN,0
TXN056,CUST041,3200.00,2024-01-20T10:30:00,JEWELRY,CREDIT,UNKNOWN,1
TXN057,CUST042,198.50,2024-01-20T11:45:00,HOTEL,CREDIT,ILLINOIS,0
TXN058,CUST043,85.99,2024-01-20T12:20:00,GROCERY,DEBIT,MONTANA,0
TXN059,CUST044,45.00,2024-01-20T13:35:00,ATM,DEBIT,CALIFORNIA,0
TXN060,CUST045,425.75,2024-01-20T14:50:00,CLOTHING,CREDIT,TEXAS,0
TXN061,CUST046,72.25,2024-01-20T15:15:00,RESTAURANT,DEBIT,NEW_YORK,0
TXN062,CUST047,1890.00,2024-01-20T16:30:00,ELECTRONICS,CREDIT,FLORIDA,0
TXN063,CUST048,135.50,2024-01-20T17:45:00,PHARMACY,DEBIT,WASHINGTON,0
TXN064,CUST049,58.75,2024-01-20T18:20:00,GAS_STATION,DEBIT,OREGON,0
TXN065,CUST050,245.99,2024-01-20T19:35:00,GROCERY,CREDIT,ARIZONA,0
TXN066,CUST016,2750.00,2024-01-20T20:10:00,ONLINE,CREDIT,TEXAS,1
TXN067,CUST017,95.50,2024-01-20T21:25:00,RESTAURANT,DEBIT,CALIFORNIA,0
TXN068,CUST018,185.75,2024-01-21T08:30:00,CLOTHING,CREDIT,FLORIDA,0
TXN069,CUST019,67.25,2024-01-21T09:45:00,COFFEE_SHOP,DEBIT,NEW_YORK,0
TXN070,CUST020,890.00,2024-01-21T10:20:00,ELECTRONICS,CREDIT,WASHINGTON,0
TXN071,CUST021,125.99,2024-01-21T11:35:00,GROCERY,DEBIT,NEVADA,0
TXN072,CUST022,45.00,2024-01-21T12:50:00,ATM,DEBIT,OREGON,0
TXN073,CUST023,320.50,2024-01-21T13:15:00,HOTEL,CREDIT,ARIZONA,0
TXN074,CUST024,78.25,2024-01-21T14:30:00,PHARMACY,DEBIT,COLORADO,0
TXN075,CUST025,165.75,2024-01-21T15:45:00,GAS_STATION,CREDIT,UTAH,0
TXN076,CUST026,295.00,2024-01-21T16:20:00,RESTAURANT,CREDIT,MICHIGAN,0
TXN077,CUST027,1250.00,2024-01-21T17:35:00,ELECTRONICS,CREDIT,ILLINOIS,0
TXN078,CUST028,85.50,2024-01-21T18:50:00,GROCERY,DEBIT,MONTANA,0
TXN079,CUST029,45.99,2024-01-21T19:15:00,COFFEE_SHOP,DEBIT,CALIFORNIA,0
TXN080,CUST030,525.75,2024-01-21T20:30:00,CLOTHING,CREDIT,TEXAS,0
TXN081,CUST031,92.25,2024-01-21T21:45:00,PHARMACY,DEBIT,NEW_YORK,0
TXN082,CUST032,235.50,2024-01-21T22:20:00,GROCERY,DEBIT,FLORIDA,0
TXN083,CUST001,125.75,2024-01-21T08:45:00,RESTAURANT,DEBIT,NEW_YORK,0
TXN084,CUST002,785.00,2024-01-21T10:15:00,ELECTRONICS,CREDIT,CALIFORNIA,0
TXN085,CUST003,67.50,2024-01-21T12:30:00,COFFEE_SHOP,DEBIT,FLORIDA,0
TXN086,CUST004,195.25,2024-01-21T14:45:00,CLOTHING,CREDIT,TEXAS,0
TXN087,CUST005,345.99,2024-01-21T16:20:00,HOTEL,CREDIT,NEVADA,0
TXN088,CUST006,58.75,2024-01-21T18:35:00,GAS_STATION,DEBIT,ILLINOIS,0
TXN089,CUST007,145.50,2024-01-21T20:10:00,GROCERY,DEBIT,UNKNOWN,0
TXN090,CUST008,425.00,2024-01-21T21:25:00,RESTAURANT,CREDIT,COLORADO,0
TXN091,CUST033,6800.00,2024-01-21T15:20:00,ONLINE,CREDIT,UNKNOWN,1
TXN092,CUST034,165.75,2024-01-21T16:45:00,PHARMACY,DEBIT,FLORIDA,0
TXN093,CUST035,285.50,2024-01-21T17:30:00,ELECTRONICS,CREDIT,WASHINGTON,0
TXN094,CUST036,95.25,2024-01-21T18:15:00,GROCERY,DEBIT,OREGON,0
TXN095,CUST037,745.00,2024-01-21T19:40:00,CLOTHING,CREDIT,ARIZONA,0
TXN096,CUST038,128.75,2024-01-21T20:55:00,GAS_STATION,DEBIT,COLORADO,0
TXN097,CUST039,215.99,2024-01-21T21:30:00,RESTAURANT,CREDIT,UTAH,0
TXN098,CUST040,85.50,2024-01-21T22:45:00,COFFEE_SHOP,DEBIT,MICHIGAN,0
TXN099,CUST041,1580.00,2024-01-21T23:20:00,ELECTRONICS,CREDIT,ILLINOIS,0
TXN100,CUST042,3950.00,2024-01-21T23:55:00,JEWELRY,CREDIT,UNKNOWN,1
